featureSelection,preprocesamiento,0,1,2,3,4,5,6,7,8,9
kbest_chi2,no,xor+,xor,eucl,hamm,eucl_dec,arit,s0,s1,d18,d12
kbest_chi2,standard,s11,s18,s26,s27,s16,s25,s12,eucl_dec,s17,s0
kbest_chi2,minMax,s0,s1,d18,d12,d25,xor,d24,d11,d22,d15
kbest_chi2,robust,norm_src,arit,eucl_dec,s0,s1,d18,d12,d25,hamm,xor
kbest_chi2,norm_l1,s3,s8,s0,d8,eucl,arit,s5,s6,d19,d21
kbest_chi2,norm_l2,s3,s8,d8,s0,s5,s6,d19,d21,d23,d31
kbest_fclass,no,arit,eucl_dec,s1,hamm,d12,d18,xor+,s0,xor,d25
kbest_fclass,standard,arit,eucl_dec,s1,hamm,d12,d18,xor+,s0,xor,d25
kbest_fclass,minMax,arit,eucl_dec,s1,hamm,d12,d18,xor+,s0,xor,d25
kbest_fclass,robust,arit,eucl_dec,s1,hamm,d12,d18,xor+,s0,xor,d25
kbest_fclass,norm_l1,arit,eucl,s3,s8,s0,d8,s5,s6,d19,d21
kbest_fclass,norm_l2,eucl,s3,arit,s8,d8,xor,s0,s5,s6,d19
extraTrees,no,eucl_dec,d10,s1,s3,d4,s2,arit,s8,d8,s0
extraTrees,standard,eucl_dec,s1,d4,d10,s2,arit,s3,s8,s0,s4
extraTrees,minMax,s1,eucl_dec,d10,arit,s2,d4,s3,hamm,d8,s8
extraTrees,robust,d10,s1,eucl_dec,d4,arit,s8,s2,s3,d1,s0
extraTrees,norm_l1,s8,s31,d6,xor,d30,d21,eucl,s23,s3,d5
extraTrees,norm_l2,d9,d19,s8,s19,d0,s5,xor,d21,d6,s30
randomForest,no,xor+,arit,eucl_dec,xor,hamm,s4,eucl,s8,s3,s2
randomForest,standard,arit,eucl_dec,xor,norm_src,hamm,xor+,norm_dst,eucl,s3,s2
randomForest,minMax,eucl_dec,arit,hamm,xor,s4,s8,xor+,s3,s2,d4
randomForest,robust,arit,eucl_dec,norm_src,hamm,xor,xor+,s4,s8,eucl,s2
randomForest,norm_l1,s3,s8,eucl,d4,d31,d23,d19,d30,norm_src,s4
randomForest,norm_l2,s3,s8,xor,eucl,s5,d21,s31,d4,s4,d30
