method,featureSelection,accuracy,precision,recall,f1_score,mathews_corr,AUC
kmeans,kbest_chi2,0.7943,0.0,0.0,0.0,-0.0306,0.4977
kmeans,kbest_fclass,0.8102,0.5155,1.0,0.6803,0.6268,0.8811
kmeans,extraTrees,0.7933,0.0,0.0,0.0,-0.0345,0.4971
kmeans,randomForest,0.7933,0.0,0.0,0.0,-0.0345,0.4971
minibatch,kbest_chi2,0.7943,0.0,0.0,0.0,-0.0306,0.4977
minibatch,kbest_fclass,0.8102,0.5155,1.0,0.6803,0.6268,0.8811
minibatch,extraTrees,0.7933,0.0,0.0,0.0,-0.0345,0.4971
minibatch,randomForest,0.7933,0.0,0.0,0.0,-0.0345,0.4971
birch,kbest_chi2,0.798,0.0,0.0,0.0,0.0,0.5
birch,kbest_fclass,0.798,0.0,0.0,0.0,0.0,0.5
birch,extraTrees,0.797,0.0,0.0,0.0,-0.0158,0.4994
birch,randomForest,0.797,0.0,0.0,0.0,-0.0158,0.4994
mincovdet,kbest_chi2,0.8023,0.5054,1.0,0.6715,0.6166,0.8761
mincovdet,kbest_fclass,0.7901,0.4904,1.0,0.6581,0.6012,0.8685
mincovdet,extraTrees,0.7901,0.4904,1.0,0.6581,0.6012,0.8685
mincovdet,randomForest,0.8023,0.5054,1.0,0.6715,0.6166,0.8761
isolation,kbest_chi2,0.202,0.202,1.0,0.3361,0.0008,0.5
isolation,kbest_fclass,0.8086,0.5135,1.0,0.6785,0.6247,0.8801
isolation,extraTrees,0.202,0.202,1.0,0.3361,0.0,0.5
isolation,randomForest,0.8086,0.5135,1.0,0.6785,0.6247,0.8801
